"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NBA","Classic",3002517469,"NBA $8K Quarter Jukebox (4/6)",119621461,"2021-12-01 19:00:00",7250,272.25,"$0.50","$0.00",38046,"$0.25","$8,000.00",9115
"NBA","Classic",3002517467,"NBA $8K Quarter Jukebox (2/6)",119621461,"2021-12-01 19:00:00",10569,265.75,"$0.00","$0.00",38046,"$0.25","$8,000.00",9115
"NBA","Classic",3002517466,"NBA $8K Quarter Jukebox (1/6)",119621461,"2021-12-01 19:00:00",11577,263.25,"$0.00","$0.00",38046,"$0.25","$8,000.00",9115
"NBA","Classic",3002517471,"NBA $8K Quarter Jukebox (6/6)",119621461,"2021-12-01 19:00:00",17009,252.25,"$0.00","$0.00",38046,"$0.25","$8,000.00",9115
"NBA","Classic",3002517468,"NBA $8K Quarter Jukebox (3/6)",119621461,"2021-12-01 19:00:00",25947,232.25,"$0.00","$0.00",38046,"$0.25","$8,000.00",9115
"NBA","Classic",3002517470,"NBA $8K Quarter Jukebox (5/6)",119621461,"2021-12-01 19:00:00",34247,200.75,"$0.00","$0.00",38046,"$0.25","$8,000.00",9115
"NBA","Classic",3001900652,"Casual NBA $1 50-50",119622048,"2021-12-01 19:00:00",10,200.75,"$0.00","$0.00",10,"$1.00","$9.00",5
"NBA","Classic",3002521752,"Casual NBA $2 5-Player",119657801,"2021-12-01 19:00:00",1,272.25,"$6.00","$0.00",5,"$2.00","$9.00",2
"NHL","Classic",3001338015,"NHL $1.5K Quarter Jukebox [Just $0.25!] (2/2)",119558102,"2021-11-30 19:00:00",395,149.4,"$0.75","$0.00",7134,"$0.25","$1,500.00",1706
"NHL","Classic",3001323751,"NHL $1.5K Quarter Jukebox [Just $0.25!] (1/2)",119558102,"2021-11-30 19:00:00",1067,128.7,"$0.50","$0.00",7134,"$0.25","$1,500.00",1706
"NBA","Classic",3001709344,"NBA $3K Quarter Jukebox [Just $0.25!] (Night) (2/2)",119548790,"2021-11-30 22:00:00",458,269.25,"$1.00","$0.00",14268,"$0.25","$3,000.00",3419
"NBA","Classic",3001701663,"NBA $3K Quarter Jukebox [Just $0.25!] (Night) (1/2)",119548790,"2021-11-30 22:00:00",619,266,"$0.75","$0.00",14268,"$0.25","$3,000.00",3419
"NBA","Classic",3001317266,"NBA $8K Quarter Jukebox (3/3)",119548733,"2021-11-30 19:30:00",13488,239.75,"$0.00","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3001293667,"NBA $8K Quarter Jukebox (1/3)",119548733,"2021-11-30 19:30:00",19657,228,"$0.00","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3001300911,"NBA $8K Quarter Jukebox (2/3)",119548733,"2021-11-30 19:30:00",20011,227.25,"$0.00","$0.00",38049,"$0.25","$8,000.00",9115
"NBA","Classic",3001339335,"Casual NBA $1 50-50",119583940,"2021-11-30 19:30:00",9,228,"$0.00","$0.00",10,"$1.00","$9.00",5
